tab_switches,typing_speed,idle_time,mouse_movements,copy_paste_count,suspicious
0,44,0,117,0,1
6,42,45,123,5,1
5,33,38,112,4,1
5,56,23,53,0,0
3,51,20,80,0,0
3,39,42,72,2,0
0,33,0,146,0,0
5,29,27,55,0,0
3,28,56,109,5,0
7,31,42,149,7,1
4,35,31,75,1,0
3,53,22,85,1,0
2,36,8,89,0,0
2,41,47,87,3,1
9,44,45,156,7,1
8,44,43,130,6,1
3,34,24,59,0,0
0,44,60,121,5,0
4,44,35,65,1,0
6,36,38,147,6,1
5,42,38,122,4,0
6,40,32,66,1,0
5,29,77,62,5,0
2,41,39,103,3,1
2,34,40,121,4,1
8,46,46,131,6,1
4,50,54,134,6,1
5,36,36,116,4,1
6,37,47,34,1,0
10,37,40,131,6,1
3,42,14,141,3,1
5,41,24,51,0,0
2,62,39,105,3,1
3,36,44,96,3,0
5,27,37,109,4,1
3,47,18,86,1,0
6,41,37,96,3,1
9,35,39,127,5,0
5,39,59,50,3,0
1,43,5,110,0,0
2,46,39,102,3,1
5,47,65,164,9,1
4,49,27,74,1,1
4,27,42,122,5,1
3,48,54,145,7,1
2,27,30,102,2,1
1,48,53,89,4,1
2,35,8,90,0,0
2,37,68,90,5,0
6,51,42,42,1,0
3,38,47,123,5,1
8,47,41,140,6,1
2,49,8,90,0,0
0,55,43,31,0,1
1,35,67,110,6,1
1,21,59,77,4,1
2,18,12,92,0,0
2,56,15,102,1,0
2,20,15,99,1,0
6,45,43,127,5,1
6,44,28,24,0,0
2,30,20,92,1,0
5,47,26,171,6,0
5,56,31,51,0,0
0,63,7,156,3,0
4,43,21,171,5,1
1,38,9,97,0,1
5,33,37,65,1,0
3,31,26,104,2,1
4,40,35,144,5,1
6,59,42,47,1,0
6,24,35,39,0,0
5,45,34,57,1,0
4,32,24,64,0,0
2,23,9,82,0,0
0,49,0,113,0,0
0,50,45,109,4,0
4,36,39,61,1,0
2,51,38,101,3,1
5,32,48,62,2,0
2,51,54,93,4,0
2,37,61,102,5,0
4,32,36,155,6,1
9,40,45,125,6,1
5,43,35,93,3,1
7,23,40,137,6,1
8,34,41,150,7,1
7,38,43,37,1,0
8,52,47,129,6,1
0,41,0,113,0,0
3,45,55,99,4,1
5,28,34,39,0,0
0,28,0,100,0,0
3,37,57,93,4,0
3,39,49,131,6,0
3,39,36,126,4,1
8,30,48,136,7,1
3,45,50,102,4,1
3,16,38,91,3,1
5,62,28,168,6,1
7,44,48,32,1,1
2,45,12,92,0,0
3,51,43,98,3,0
9,42,32,5,0,0
2,31,31,78,1,1
4,55,30,71,1,0
4,51,44,52,1,0
4,64,31,148,5,0
4,31,25,63,0,1
3,47,0,83,0,0
0,21,4,111,0,0
10,32,48,171,9,1
1,32,38,56,0,1
2,39,5,81,0,0
4,46,40,51,1,0
3,42,10,74,0,0
1,30,14,104,1,0
2,35,53,110,5,0
9,55,44,137,6,1
6,38,35,13,0,0
6,50,41,119,5,1
0,45,30,166,5,0
0,27,45,186,7,0
4,52,23,169,5,1
4,36,25,59,0,0
4,34,37,93,3,1
4,45,50,159,7,1
8,48,36,5,0,0
3,37,49,79,3,0
1,41,44,96,3,1
4,41,53,90,4,0
3,32,33,124,4,1
1,41,50,93,3,1
2,21,39,79,2,1
7,27,39,203,9,1
2,21,36,101,3,0
2,55,50,112,5,0
1,42,39,115,4,0
4,40,21,53,0,1
0,38,42,46,0,1
4,5,36,140,5,1
0,36,34,50,0,1
5,9,34,65,1,0
3,45,45,106,4,1
2,58,36,74,1,1
0,54,47,125,5,0
3,39,16,79,0,0
6,42,50,52,2,0
3,47,39,116,4,0
5,40,38,111,4,1
6,37,43,131,6,1
6,38,39,111,4,1
0,45,0,139,0,0
2,31,63,67,3,0
5,28,40,126,5,1
3,25,16,73,0,0
4,32,38,152,6,1
6,44,39,131,5,0
3,28,38,118,4,1
5,41,38,128,5,1
8,28,44,125,6,1
8,51,38,128,5,1
6,42,62,160,9,1
3,37,25,86,1,0
6,42,42,102,4,1
4,33,37,68,1,1
6,51,37,119,4,1
3,17,55,111,5,1
2,31,46,109,4,1
0,47,4,109,0,0
6,49,40,95,3,1
4,38,37,106,3,1
4,28,24,74,1,0
4,50,22,63,0,0
4,48,30,82,2,0
2,27,32,88,2,1
1,50,0,91,0,0
1,42,54,105,4,0
5,42,56,135,7,1
3,30,16,55,0,0
5,53,32,178,7,1
10,27,43,146,7,1
0,50,0,121,0,0
5,46,30,49,0,0
1,27,30,95,2,1
3,38,32,94,2,0
6,26,39,50,1,1
4,32,39,28,0,0
2,40,50,98,4,0
3,65,43,122,5,1
6,58,42,201,9,1
0,35,0,123,0,0
1,34,0,92,0,0
4,36,38,102,3,0
1,31,29,101,2,1
5,35,38,63,1,0
8,33,43,26,0,0
0,42,43,61,1,1
7,52,45,130,6,1
2,22,35,124,4,0
9,26,43,169,8,1
7,47,43,126,5,1
3,53,21,82,1,0
0,31,33,60,0,0
4,40,20,66,0,0
3,26,38,111,4,1
6,35,34,167,7,1
3,45,13,82,0,0
3,40,19,83,1,0
1,30,19,88,0,1
3,36,42,121,5,1
7,42,45,137,6,1
2,55,30,82,1,0
6,53,73,148,9,1
1,51,58,95,4,1
0,44,25,65,0,1
2,36,10,90,0,0
1,36,4,97,0,0
4,32,14,53,0,0
4,42,21,59,0,0
6,43,55,160,8,1
5,32,33,109,3,1
7,46,50,36,1,1
6,41,39,36,0,0
6,43,40,109,4,1
5,51,49,188,9,1
2,50,51,95,4,0
5,42,53,147,7,1
5,14,41,50,1,0
4,41,38,84,2,0
5,57,36,81,2,1
4,37,34,68,1,0
5,17,41,125,5,1
3,38,24,78,1,0
3,61,31,65,1,0
2,48,48,50,1,0
3,43,9,53,0,0
2,42,41,78,2,0
3,41,13,83,0,0
0,42,52,144,6,0
6,41,49,153,7,0
10,35,48,171,9,1
2,31,24,157,5,0
6,57,39,128,5,1
5,45,41,115,4,1
9,41,40,126,5,1
3,33,35,99,3,0
7,38,44,132,6,1
3,36,62,45,2,0
3,27,22,85,1,0
2,39,69,60,4,0
4,38,25,70,1,0
4,41,45,84,3,0
6,40,38,139,5,1
1,41,0,91,0,0
6,46,30,165,6,1
9,34,42,140,6,1
5,33,47,155,7,1
1,47,23,90,1,0
8,21,48,20,1,0
2,28,26,121,3,1
6,43,34,43,0,0
6,34,40,47,1,0
3,53,30,99,2,0
1,50,17,115,2,0
0,44,64,105,5,0
6,34,44,45,1,0
3,40,27,147,5,0
3,22,38,104,3,1
3,47,48,55,2,0
6,49,43,107,4,1
4,36,55,155,8,1
3,30,43,127,5,1
2,43,5,86,0,0
4,32,20,70,0,0
5,5,33,48,0,0
4,51,40,104,4,1
4,52,35,67,1,1
3,21,16,77,0,0
5,36,39,132,5,1
4,58,50,78,3,0
4,41,36,86,2,1
4,42,25,77,1,0
2,38,37,90,2,1
4,43,38,147,6,1
0,38,0,124,0,0
9,47,41,141,6,1
8,36,39,144,6,1
3,38,20,81,1,0
5,36,37,106,4,1
3,38,78,109,7,1
0,33,40,147,5,0
4,49,36,109,3,1
3,49,24,86,1,1
2,47,11,90,0,0
3,43,35,109,3,1
3,35,62,112,6,1
3,31,34,135,5,0
7,59,42,115,5,1
4,38,59,59,3,0
3,36,25,81,1,0
8,34,59,188,10,1
6,41,43,51,1,0
8,18,42,138,6,0
9,27,51,137,7,1
4,35,22,70,0,0
2,36,47,123,5,1
2,49,5,89,0,0
3,43,25,80,1,0
0,37,43,55,1,1
3,37,49,110,4,1
5,35,43,132,6,1
5,40,39,110,4,1
4,49,36,79,2,1
8,35,52,22,1,0
7,41,38,189,8,1
5,60,40,104,4,1
6,37,37,135,5,1
6,33,37,5,0,0
7,40,53,28,1,0
1,34,29,107,2,1
0,32,33,116,3,0
2,55,22,108,2,1
9,59,43,138,6,1
4,40,58,116,6,0
2,39,47,70,2,0
4,27,58,42,2,0
5,35,60,158,8,1
0,30,0,146,0,0
4,62,35,92,3,1
7,46,39,34,0,0
1,40,23,147,4,0
3,23,16,84,0,0
2,22,38,123,4,1
4,45,30,73,1,0
5,45,37,61,1,0
4,43,22,53,0,0
0,36,38,69,1,1
0,40,0,119,0,0
3,34,31,78,1,1
6,46,43,112,5,1
3,42,62,112,6,0
4,38,41,139,5,1
0,52,33,110,3,1
0,54,7,119,1,0
2,22,44,121,5,0
2,30,47,95,4,1
6,38,39,134,5,1
6,42,46,117,5,1
3,42,44,137,6,0
5,34,42,35,0,0
2,40,42,96,3,1
4,25,35,107,3,1
5,19,23,71,0,0
5,37,35,58,1,0
1,46,6,105,0,0
5,38,43,15,0,0
6,49,45,46,1,1
2,45,1,103,0,0
9,38,64,9,2,0
6,46,34,176,7,1
5,36,40,73,2,0
2,46,49,50,1,1
2,29,11,97,0,0
2,25,23,139,4,0
5,55,32,118,4,1
5,42,40,51,1,1
3,40,16,104,1,0
1,41,3,107,0,0
5,16,35,105,3,1
7,44,49,37,1,0
6,50,53,164,8,1
2,44,22,98,1,1
1,39,37,90,2,1
3,26,47,82,3,1
6,44,42,122,5,1
0,62,46,134,5,0
5,41,48,57,2,0
3,26,66,67,4,1
6,32,40,132,5,1
0,29,51,153,6,1
9,39,38,113,5,1
3,36,29,113,3,1
1,23,28,99,2,1
7,57,41,117,5,1
1,27,8,99,0,1
2,45,43,77,2,1
2,23,43,90,3,0
4,55,36,149,6,1
6,31,41,134,5,1
0,32,0,108,0,0
1,43,28,106,2,1
7,28,36,12,0,0
5,48,39,163,7,1
1,44,29,108,2,1
5,20,53,147,7,1
3,46,7,148,3,1
0,44,7,81,0,1
5,25,13,27,0,0
1,60,42,88,3,1
4,35,38,71,2,0
7,31,47,138,6,1
8,31,40,134,6,1
4,40,24,70,0,0
3,29,23,85,1,0
4,37,26,138,4,1
1,53,20,80,0,1
5,35,42,34,0,0
7,28,51,41,2,0
5,48,53,117,5,1
3,31,19,72,0,0
7,44,39,130,5,1
5,40,32,52,0,0
2,49,12,88,0,0
4,38,21,59,0,0
0,42,24,57,0,1
2,47,32,113,3,1
0,47,31,173,6,0
3,44,44,168,7,1
4,13,67,59,4,0
3,46,9,117,1,1
4,31,51,69,3,0
5,36,29,51,0,0
8,17,52,28,1,0
1,47,57,108,5,1
2,35,12,97,0,0
0,33,0,121,0,0
3,15,20,80,0,0
3,55,38,121,4,1
5,40,37,106,4,1
5,43,39,53,1,0
3,47,16,83,0,0
1,48,7,107,0,0
6,50,42,120,5,1
4,44,40,55,1,1
4,44,34,69,1,0
5,24,43,134,6,1
1,50,37,98,3,0
8,26,37,114,4,0
4,40,32,81,2,1
5,43,37,107,4,1
3,44,31,81,1,1
6,36,10,51,0,0
3,48,46,129,5,1
4,42,39,118,4,1
5,37,26,50,0,0
4,28,44,140,6,1
5,35,23,29,0,0
4,22,48,151,7,1
8,40,57,37,2,0
3,39,44,101,4,0
3,40,50,119,5,1
6,30,32,41,0,0
8,33,49,23,1,0
8,34,41,143,6,1
9,34,43,136,6,1
4,46,37,129,5,1
4,33,35,113,4,1
5,28,32,125,4,1
6,54,49,194,9,0
1,39,7,105,0,1
3,60,31,122,4,1
2,40,32,83,1,1
9,60,46,132,6,1
5,48,43,127,5,1
3,59,31,68,1,0
6,36,36,79,2,1
2,53,47,68,2,0
9,39,46,149,7,1
9,47,44,132,6,1
2,50,40,95,3,1
2,32,53,95,4,1
5,35,43,139,6,1
3,36,40,75,2,0
3,39,54,63,2,0
8,47,43,139,6,1
3,35,30,94,2,0
10,35,51,161,8,1
0,45,0,116,0,0
5,41,47,35,1,0
10,15,43,147,7,1
3,38,33,64,1,0
6,44,0,24,0,1
5,31,23,51,0,0
5,44,34,64,1,0
7,43,43,40,1,0
4,13,24,73,1,0
2,47,32,99,2,0
1,38,5,111,0,0
6,46,45,199,9,1
1,23,3,96,0,0
4,31,48,61,2,0
2,30,66,92,5,1
1,33,90,131,9,0
5,41,36,140,5,1
1,49,2,93,0,0
5,34,41,134,5,1
2,45,69,126,7,0
3,43,17,86,0,0
4,38,38,56,1,0
8,32,41,129,6,1
1,48,75,95,6,0
5,28,40,63,2,0
4,51,48,155,7,1
1,15,40,72,2,0
6,49,35,51,1,0
3,14,49,133,6,1
2,52,7,91,0,0
7,42,47,149,7,1
4,45,22,59,0,1
10,21,41,119,5,1
4,22,33,113,4,1
6,34,34,36,0,0
4,33,20,52,0,0
7,33,49,36,1,0
4,34,35,117,4,1
0,35,0,139,0,0
4,27,23,65,0,0
5,38,52,29,1,0
0,28,24,50,0,1
7,45,49,31,1,0
4,42,38,126,5,1
5,41,37,106,4,1
5,55,27,42,0,0
4,33,17,160,4,1
7,58,37,110,4,1
7,56,49,33,1,0
7,42,37,32,0,0
7,27,39,134,5,1
5,49,39,95,3,1
7,29,37,109,4,1
3,44,40,97,3,1
2,26,81,87,6,0
3,44,14,67,0,0
4,48,43,115,4,1
4,36,21,65,0,0
5,44,49,163,8,1
2,35,11,85,0,0
4,26,62,77,4,0
5,33,34,59,1,0
1,53,44,167,7,0
0,41,29,46,0,1
5,42,35,64,1,0
2,41,66,81,4,0
3,37,37,96,3,1
7,36,40,145,6,1
8,42,46,137,6,1
6,37,43,48,1,0
3,45,39,83,2,0
1,48,41,128,5,0
4,48,41,136,5,1
5,56,43,37,0,0
3,27,26,92,2,0
5,31,31,75,1,0
3,32,42,120,4,1
2,35,15,82,0,1
5,49,45,129,5,1
0,33,66,115,6,0
11,26,48,161,8,1
5,53,37,54,1,0
3,50,53,116,5,1
0,37,0,120,0,0
4,44,31,43,0,0
1,53,23,102,2,1
2,55,49,109,4,0
8,36,30,22,0,0
2,46,58,94,4,1
5,28,40,137,5,1
1,41,50,87,3,0
2,59,41,98,3,1
5,43,32,63,1,0
3,34,69,108,6,1
6,48,32,33,0,0
2,51,15,89,0,0
5,46,60,155,8,1
5,26,74,148,9,1
6,38,40,114,4,1
3,27,20,75,0,0
3,28,44,57,1,0
2,20,36,103,3,1
3,57,33,96,2,0
4,28,32,134,4,1
7,68,48,135,6,0
5,29,40,121,5,1
5,46,40,125,5,1
6,27,41,94,3,1
7,37,39,120,5,1
6,38,42,154,7,1
4,37,34,78,2,0
6,30,56,5,0,0
1,48,7,104,0,1
0,42,26,81,1,1
2,32,12,93,0,1
5,44,47,173,8,1
3,42,57,55,2,0
4,42,22,70,0,0
4,55,34,94,3,1
5,43,41,120,5,1
4,34,25,79,1,0
7,34,41,103,4,1
4,37,31,110,3,1
4,40,39,84,2,1
0,42,41,122,4,0
7,38,41,115,5,1
2,31,12,95,0,0
4,45,39,149,6,1
4,47,40,109,4,1
2,34,66,110,6,0
6,33,53,12,0,0
4,45,16,124,2,1
5,20,41,144,6,0
4,30,42,113,4,1
5,48,41,120,5,1
9,46,45,116,5,1
7,36,48,38,1,0
6,52,69,5,1,0
3,54,48,116,5,1
5,45,39,128,5,0
1,43,22,122,2,1
1,30,38,92,2,1
7,33,42,124,5,1
3,33,36,103,3,1
0,51,34,150,5,0
2,25,18,96,1,0
4,38,21,73,0,0
4,37,29,110,3,0
3,33,37,58,1,0
7,33,22,25,0,0
6,59,39,52,1,0
